"account_id","loan_loan_id","loan_date","loan_amount","loan_duration","loan_payments","loan_status","acc_district_id","acc_frequency","day_before_loan","sum_amount","sum_amount_in","sum_amount_out","sum_out_household","sum_out_insurance","sum_in_interest_credited","sum_out_payment_for_statement","sum_out_sanction_interest_neg_bal","count_out_sanction_interest_neg_bal","count_monthly_payment_trans","current_monthly_payment_amount_out","current_monthly_payment_out_household","current_monthly_payment_out_insurance","current_monthly_payment_out_payment_for_statement","current_monthly_payment_in_interest_credited","sum_other_sum_amount","sum_other_sum_amount_in","sum_other_sum_amount_out","count_other_trans","latest_balance"
2,4959,1994-01-05,80952,24,3373,"A",1,"monthly",313,37706.9,1289.3,36417.6,36330,0,1289.3,87.6,0,0,21,7280.6,7266,0,14.6,138.3,391823,227396,164427,33,27855.2
19,4961,1996-04-29,30276,12,2523,"B",21,"monthly",388,130351,2834.2,127516.8,127400,0,2834.2,116.8,0,0,40,18214.6,18200,0,14.6,167.4,338153,239345,98808,40,15854
25,4962,1997-12-08,30276,12,2523,"A",68,"monthly",498,102022.7,4084.3,97938.4,95438,2296,4084.3,204.4,0,0,57,6995.6,6817,164,14.6,371.8,1884662,1005069,879593,107,31621.9
37,4967,1998-10-14,318480,60,5308,"D",20,"monthly",422,31431.9,2302.9,29129,27804,1164,2302.9,160.6,0.4,1,50,2428.6,2317,97,14.6,94.3,846920,445057,401863,66,16367.8
38,4968,1998-04-19,110736,48,2307,"C",19,"weekly",254,29749.7,1113.7,28636,27604,912,1113.7,120,0,0,20,7159,6901,228,30,117.1,229641,147290,82351,35,37416.7
67,4973,1996-05-02,165960,24,6915,"A",16,"monthly",561,93193.2,3486.8,89706.4,89502,0,3486.8,204.4,0,0,46,6407.6,6393,0,14.6,114.1,1509601,809755,699846,79,23703.8
97,4986,1997-08-10,102876,12,8573,"A",74,"monthly",462,16797.5,2243.9,14553.6,14360,33,2243.9,160.6,0,0,47,1453.6,1436,3,14.6,170.9,554798,303812,250986,71,40516.3
103,4988,1997-12-06,265320,36,7370,"D",44,"monthly",636,3789,3653.7,135.3,0,0,3653.7,116.8,18.5,4,32,14.6,0,0,14.6,33,712846,364653,348193,51,19992.8
105,4989,1998-12-05,352704,48,7348,"C",21,"monthly",513,2665.8,2563.6,102.2,0,0,2563.6,102.2,0,0,22,14.6,0,0,14.6,97.3,477952,252833,225119,34,30175.3
110,4990,1997-09-08,162576,36,4516,"C",36,"monthly",418,29934.6,2353.2,27581.4,27450,0,2353.2,131.4,0,0,31,3064.6,3050,0,14.6,224.7,578296,329532,248764,53,55539.8
132,4996,1996-11-06,88440,12,7370,"A",40,"after_transaction",179,1915.8,1515.8,400,0,0,1515.8,400,0,0,10,100,0,0,100,282.6,458458,268125,190333,21,79007.6
173,5002,1994-05-31,104808,12,8734,"A",66,"monthly",186,14607.6,611,13996.6,12512,1470,611,14.6,0,0,10,7005.6,6256,735,14.6,167.7,184669,113035,71634,20,28015.4
176,5005,1997-04-10,27456,12,2288,"A",71,"weekly",241,25029,1544,23485,22820,485,1544,180,0,0,24,4691,4564,97,30,318.7,859994,459108,400886,51,36280.9
226,5015,1998-07-12,109344,12,9112,"C",70,"monthly",504,119105.7,2866.5,116239.2,116064,0,2866.5,175.2,0,0,41,17870.6,17856,0,14.6,235.5,578550,379290,199260,52,66657
276,5027,1998-12-02,160920,36,4470,"C",38,"monthly",359,39421.6,2820.8,36600.8,36484,0,2820.8,116.8,0,0,27,5226.6,5212,0,14.6,188.5,616691,349398,267293,32,48339.6
290,5032,1994-11-03,123696,48,2577,"A",56,"monthly",336,18172.4,2166.8,16005.6,15918,0,2166.8,87.6,0,0,22,2667.6,2653,0,14.6,113.7,527974,283500,244474,39,25187.2
303,5034,1998-05-30,112752,36,3132,"C",71,"monthly",674,72302.2,3600,68702.2,68454,0,3600,248.2,0,0,56,3817.6,3803,0,14.6,213.3,648219,381119,267100,73,48916.6
309,5036,1998-11-25,91248,48,1901,"C",14,"monthly",579,2321.6,2117.2,204.4,0,0,2117.2,204.4,0,0,32,14.6,0,0,14.6,103.6,781634,397294,384340,67,14866.7
314,5039,1997-05-03,66840,24,2785,"C",15,"after_transaction",463,153890.5,2189.5,151701,150601,0,2189.5,1100,0,0,37,13791,13691,0,100,176.4,1025120,598653,426467,57,22674.3
319,5041,1997-07-11,369000,60,6150,"C",47,"weekly",633,31160.7,3660.7,27500,19026,7904,3660.7,570,0,0,76,1919,1057,832,30,190.4,1004250,543817,460433,95,59544.8
330,5042,1998-07-12,331584,48,6908,"C",42,"monthly",595,3304.9,3085.9,219,0,0,3085.9,219,0,0,34,14.6,0,0,14.6,181.5,933468,493048,440420,67,55494.8
